,2021,2021 returns,2020,2020 returns,2019,2019 returns,2018,2018 returns
0,Taurus Nifty Index Fund Direct Plan Growth Option,17.2,Taurus Nifty Index Fund Direct Plan Growth Option,16.98,ICICI Prudential Nifty Index Plan Direct Growth,14.83,Taurus Nifty Index Fund Direct Plan Growth Option,6.54
1,Taurus Nifty Index Fund Direct Plan Dividend Payout Option,17.18,Taurus Nifty Index Fund Direct Plan Dividend Payout Option,16.96,ICICI Prudential Nifty Index Plan Direct Plan Dividend Payout Option,14.83,Taurus Nifty Index Fund Growth Option,6.01
2,Taurus Nifty Index Fund Growth Option,17.06,Taurus Nifty Index Fund Dividend Payout Option,16.82,ICICI Prudential Nifty Index Plan Direct Plan Dividend Reinvestment Option,14.83,IDFC Nifty Fund Direct Plan Growth,5.4
3,Taurus Nifty Index Fund Dividend Payout Option,17.06,Taurus Nifty Index Fund Dividend Reinvestment Option,16.82,UTI Nifty Index Fund Regular Plan Growth,14.8,IDFC Nifty Fund Direct Plan Dividend Payout,5.4
4,Taurus Nifty Index Fund Dividend Reinvestment Option,17.06,Taurus Nifty Index Fund Growth Option,16.81,UTI Nifty Index Fund Regular Plan Dividend Payout,14.8,IDFC Nifty Fund Direct Plan Dividend Reinvestment,5.4
5,UTI Nifty Index Fund Regular Plan Growth,16.13,IDFC Nifty Fund Direct Plan Growth,16.35,UTI Nifty Index Fund Regular Plan Dividend Reinvestment,14.8,Tata Index Fund Nifty Direct Plan,5.3
6,UTI Nifty Index Fund Regular Plan Dividend Payout,16.13,IDFC Nifty Fund Growth,16.09,Tata Index Fund Nifty Direct Plan,14.78,IDFC Nifty Fund Growth,5.29
7,UTI Nifty Index Fund Regular Plan Dividend Reinvestment,16.13,ICICI Prudential Nifty Index Plan Direct Plan Dividend Payout Option,15.53,IDBI Nifty Index Fund Direct Growth,14.78,IDFC Nifty Fund Dividend Payout,5.29
8,ICICI Prudential Nifty Index Plan Direct Growth,16.1,ICICI Prudential Nifty Index Plan Direct Plan Dividend Reinvestment Option,15.53,IDBI Nifty Index Fund Direct Dividend Payout,14.78,IDFC Nifty Fund Dividend Reinvestment,5.29
9,ICICI Prudential Nifty Index Plan Direct Plan Dividend Payout Option,16.1,ICICI Prudential Nifty Index Plan Direct Growth,15.52,IDBI Nifty Index Fund Direct Dividend Reinvestment,14.78,UTI Nifty Index Fund Regular Plan Growth,5.11
