Name of Fund,Symbol
Tata Index Fund Nifty Regular Plan,0P00005WHZ.BO
Tata Index Fund Nifty Direct Plan,0P0000XVOZ.BO
UTI Nifty Index Fund Regular Plan Growth,0P00005WL6.BO
UTI Nifty Index Fund Regular Plan Dividend Payout ,0P00005WL5.BO
UTI Nifty Index Fund Regular Plan Dividend Reinvestment,0P0001BBJ7.BO
Taurus Nifty Index Fund Growth Option,0P0000OOHH.BO
Taurus Nifty Index Fund Dividend Payout Option,0P0000OOHI.BO
Taurus Nifty Index Fund Dividend Reinvestment Option,0P0001BBEV.BO
Taurus Nifty Index Fund Direct Plan Growth Option,0P0000XVQ7.BO 
Taurus Nifty Index Fund Direct Plan Dividend Payout Option,0P0000XVQ4.BO
Aditya Birla Sun Life Index Fund Growth,0P00005X2U.BO
Aditya Birla Sun Life Index Fund Dividend Payout,0P00005V5E.BO
Aditya Birla Sun Life Index Fund Dividend Reinvestment,0P0001B9OG.BO
Aditya Birla Sun Life Index Fund Growth Direct Plan,0P0000XVX3.BO
Aditya Birla Sun Life Index Fund Dividend Payout Direct Plan,0P0000XVX2.BO
Aditya Birla Sun Life Index Fund Dividend Reinvestment Direct Plan,0P0001BF1W.BO
SBI Nifty Index Fund Regular Growth,0P00005URO.BO
SBI Nifty Index Fund Regular Dividend Payout,0P00005URN.BO
SBI Nifty Index Fund Regular Dividend Reinvestment ,0P0001BB8R.BO
SBI Nifty Index Fund Direct Growth ,0P0000XVKH.BO
SBI Nifty Index Fund Direct Dividend Payout,0P0000XVKD.BO
SBI Nifty Index Fund Direct Dividend Reinvestment,0P0001BB8Q.BO
ICICI Prudential Nifty Index Plan Regular Growth,0P00005UN0.BO
ICICI Prudential Nifty Index Plan Dividend Payout Option,0P00016QKW.BO
ICICI Prudential Nifty Index Plan Dividend Reinvestment Option,0P0001BAFG.BO
ICICI Prudential Nifty Index Plan Direct Growth,0P0000XUY3.BO
ICICI Prudential Nifty Index Plan Direct Plan Dividend Payout Option,0P00016NVL.BO
ICICI Prudential Nifty Index Plan Direct Plan Dividend Reinvestment Option,0P0001BAFF.BO
IDBI Nifty Index Growth,0P0000O3JC.BO
IDBI Nifty Index Dividend Payout,0P0000VHE2.BO
IDBI Nifty Index Dividend Reinvestment,0P0001BAI6.BO
IDBI Nifty Index Fund Direct Growth,0P0000XUZY.BO
IDBI Nifty Index Fund Direct Dividend Payout ,0P0000XUZV.BO
IDBI Nifty Index Fund Direct Dividend Reinvestment,0P0001BAI5.BO
IDFC Nifty Fund Growth,0P0000NOLZ.BO 
IDFC Nifty Fund Dividend Payout ,0P0000NOM0.BO
IDFC Nifty Fund Dividend Reinvestment ,0P0001BALX.BO
IDFC Nifty Fund Direct Plan Growth ,0P0000XV14.BO 
IDFC Nifty Fund Direct Plan Dividend Payout,0P0000XV15.BO
IDFC Nifty Fund Direct Plan Dividend Reinvestment,0P0001BALY.BO
Nifty 50 ,^NSEI
